iso_code;continent;location;date;total_cases;new_cases;new_cases_smoothed;total_deaths;new_deaths;new_deaths_smoothed;total_cases_per_million;new_cases_per_million;new_cases_smoothed_per_million;total_deaths_per_million;new_deaths_per_million;new_deaths_smoothed_per_million;reproduction_rate;icu_patients;icu_patients_per_million;hosp_patients;hosp_patients_per_million;weekly_icu_admissions;weekly_icu_admissions_per_million;weekly_hosp_admissions;weekly_hosp_admissions_per_million;new_tests;total_tests;total_tests_per_thousand;new_tests_per_thousand;new_tests_smoothed;new_tests_smoothed_per_thousand;positive_rate;tests_per_case;tests_units;total_vaccinations;people_vaccinated;people_fully_vaccinated;new_vaccinations;new_vaccinations_smoothed;total_vaccinations_per_hundred;people_vaccinated_per_hundred;people_fully_vaccinated_per_hundred;new_vaccinations_smoothed_per_million;stringency_index;population;population_density;median_age;aged_65_older;aged_70_older;gdp_per_capita;extreme_poverty;cardiovasc_death_rate;diabetes_prevalence;female_smokers;male_smokers;handwashing_facilities;hospital_beds_per_thousand;life_expectancy;human_development_index
ITA;Europe;Italy;20.05.2021;4178261.0;5736.0;5585.857;124810.0;164.0;152.143;69105.767;94.87;92.387;2064.278;2.712;2.516;0.68;;;;;;;;;251037.0;63822748.0;1055.587;4.152;245075.0;4.053;0.023;43.9;tests performed;29467691.0;20261464.0;9525821.0;538539.0;490468.0;48.74;33.51;15.76;8112.0;74.07;60461828.0;205.859;47.9;23.021;16.24;35220.084;2.0;113.151;kwi.78;19.sie;27.sie;;mar.18;83.51;0.892
OWID_KOS;Europe;Kosovo;20.05.2021;106712.0;55.0;67.0;2242.0;2.0;2.857;55211.835;28.457;34.665;1159.991;1.035;1.478;0.48;;;;;;;;;;;;;;;;;;55237.0;55237.0;;;1877.0;lut.86;lut.86;;971.0;45.37;1932774.0;168.155;;;;9795.834;0.6;;;;;;;;
LVA;Europe;Latvia;20.05.2021;129794.0;497.0;488.0;2301.0;3.0;8.714;68812.354;263.492;258.721;1219.912;sty.59;kwi.62;0.89;;;;;;;;;16546.0;2497837.0;1324.268;8.772;12740.0;6.754;0.038;26.sty;tests performed;585894.0;430544.0;161884.0;19804.0;15121.0;31.06;22.83;sie.58;8017.0;56.48;1886202.0;31.212;43.9;19.754;14.136;25063.846;0.7;350.06;kwi.91;25.cze;51.0;;maj.57;75.29;0.866
LIE;Europe;Liechtenstein;20.05.2021;2994.0;1.0;2.0;58.0;0.0;0.0;78506.437;26.221;52.443;1520.833;0.0;0.0;0.64;;;;;;;;;;;;;;;;;;;;;;;;;;;;38137.0;237.012;;;;;;;lip.77;;;;2.397;82.49;0.919
LTU;Europe;Lithuania;20.05.2021;268684.0;915.0;907.0;4155.0;19.0;12.0;98697.751;336.114;333.175;1526.288;6.979;4.408;0.83;;;;;;;;;19730.0;3299273.0;1211.947;7.248;18719.0;6.876;0.047;21.mar;tests performed;1417024.0;919976.0;497048.0;31125.0;20124.0;52.05;33.79;18.26;7392.0;41.67;2722291.0;45.135;43.5;19.002;13.778;29524.265;0.7;342.989;mar.67;21.mar;38.0;;cze.56;75.93;0.882
LUX;Europe;Luxembourg;20.05.2021;69465.0;67.0;102.429;809.0;1.0;0.429;110970.708;107.033;163.63;1292.382;1.598;0.685;0.85;;;;;;;;;14467.0;2822476.0;4508.92;23.111;8837.0;14.117;0.012;86.3;tests performed;309633.0;216030.0;93603.0;5571.0;5679.0;49.46;34.51;14.95;9072.0;45.37;625976.0;231.447;39.7;14.312;9.842;94277.965;0.2;128.275;kwi.42;20.wrz;26.0;;kwi.51;82.25;0.916
MLT;Europe;Malta;20.05.2021;30491.0;2.0;2.571;417.0;0.0;0.0;69056.188;4.53;5.824;944.424;0.0;0.0;0.49;;;;;;;;;2234.0;904600.0;2048.743;05.cze;1932.0;4.376;0.001;751.5;tests performed;453711.0;296548.0;164113.0;7881.0;6684.0;102.76;67.16;37.17;15138.0;56.48;441539.0;1454.037;42.4;19.426;11.324;36513.323;0.2;168.711;sie.83;20.wrz;30.2;;4.485;82.53;0.895
MDA;Europe;Moldova;20.05.2021;254379.0;166.0;141.857;6061.0;8.0;9.429;63059.329;41.151;35.166;1502.493;1.983;2.337;0.67;;;;;;;;;;1070467.0;265.364;;;;;;tests performed;275627.0;239094.0;36533.0;11247.0;8412.0;cze.83;maj.93;0.91;2085.0;;4033963.0;123.655;37.6;10.864;6.955;5189.972;0.2;408.502;maj.72;05.wrz;44.6;86.979;05.sie;71.9;0.75
MCO;Europe;Monaco;20.05.2021;2499.0;2.0;1.286;32.0;0.0;0.0;63678.524;50.963;32.762;815.411;0.0;0.0;0.67;;;;;;;;;;;;;;;;;;;;;;;;;;;54.63;39244.0;19347.5;;;;;;;maj.46;;;;13.sie;86.75;
MNE;Europe;Montenegro;20.05.2021;99098.0;67.0;68.429;1569.0;3.0;2.571;157783.786;106.677;108.952;2498.161;4.777;4.094;0.73;;;;;;;;;;;;;;;;;;151522.0;116481.0;35041.0;3267.0;2997.0;24.13;18.55;maj.58;4772.0;;628062.0;46.28;39.1;14.762;9.395;16409.288;1.0;387.305;10.sie;44.0;47.9;;3.861;76.88;0.829
NLD;Europe;Netherlands;20.05.2021;1642610.0;4670.0;4558.714;17778.0;20.0;14.143;95863.564;272.544;266.049;1037.533;1.167;0.825;0.76;;;;;;;;;;;;;;;;;;;;;;71844.0;;;;4193.0;62.04;17134873.0;508.544;43.2;18.779;11.881;48472.545;;109.361;maj.29;24.kwi;27.mar;;mar.32;82.28;0.944
MKD;Europe;North Macedonia;20.05.2021;154937.0;46.0;63.286;5265.0;16.0;13.857;74368.094;22.08;30.376;2527.143;lip.68;6.651;0.43;;;;;;;;;;;;;1745.0;0.838;0.036;27.cze;tests performed;232485.0;196119.0;36366.0;12508.0;6830.0;lis.16;wrz.41;sty.75;3278.0;;2083380.0;82.6;39.1;13.26;sie.16;13111.214;5.0;322.688;10.sie;;;;kwi.28;75.8;0.774
